sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;-;The passenger's information must be retrieved from the scanned ticket before any changes to the number of bags can be made.;-
Scan ticket;Change seat;-;Scanning the ticket first allows for accurate retrieval of passenger information, which is necessary to check for available seat options.;-;-
Scan ticket;Check validity of documents;-;Scanning the ticket first allows for the retrieval of passenger information, which is necessary to check the validity of documents effectively.;-;-
Scan ticket;Weigh baggage;-;Scanning the ticket first allows for the retrieval of passenger information, which is essential for processing the baggage correctly.;-;-
Scan ticket;Cancel check-in;-;Validating the ticket through scanning is a necessary step to determine if the check-in process should continue or be canceled.;-;-
Scan ticket;Process payment;-;Scanning the ticket first allows for the retrieval of necessary passenger information, which is essential for processing payment accurately.;-;-
Scan ticket;Check-in luggage;-;-;The airline requires that the ticket is scanned before checking in the luggage to ensure all passenger information is retrieved and payment is processed.;-
Scan ticket;Load luggage;-;-;Luggage can only be loaded after the ticket has been scanned and the necessary information has been processed.;-
Change number of bags;Change seat;-;-;-;-
Change number of bags;Check validity of documents;-;-;The change in the number of bags is dependent on the validity of the documents to ensure that the passenger is eligible for the requested changes.;-
Change number of bags;Weigh baggage;-;-;The number of bags must be updated in the system before weighing to ensure that all bags are accounted for and associated with the passenger's ticket.;-
Change number of bags;Cancel check-in;-;-;If the check-in process is canceled, no further changes to the number of bags can be processed.;-
Change number of bags;Process payment;-;-;The airline requires payment to be processed for any changes made to the booking, including the number of bags.;-
Change number of bags;Check-in luggage;-;-;The number of bags must be updated in the system before checking in the luggage to ensure accurate processing.;-
Change number of bags;Load luggage;-;-;Only the luggage that has been checked in and associated with the ticket can be loaded onto the aircraft.;-
Change seat;Check validity of documents;-;-;The organization requires that document validity is checked before finalizing any changes to ensure compliance and avoid issues.;-
Change seat;Weigh baggage;-;-;-;-
Change seat;Cancel check-in;-;-;If a seat change is requested and the ticket is invalid, the check-in process must be canceled.;-
Change seat;Process payment;-;-;Changing a seat often incurs an additional fee that needs to be processed before finalizing the change.;-
Change seat;Check-in luggage;-;-;Only after the seat change requests are handled can the check-in process for luggage begin, as the passenger information needs to be updated.;-
Change seat;Load luggage;-;-;-;-
Check validity of documents;Weigh baggage;-;-;-;-
Check validity of documents;Cancel check-in;-;Validating documents before proceeding ensures that the check-in process is only continued if all necessary documents are valid, preventing wasted time.;-;-
Check validity of documents;Process payment;-;Validating documents before processing payment ensures that the transaction is legitimate and prevents potential issues.;-;-
Check validity of documents;Check-in luggage;Regulations require that passengers validate their documents before checking in luggage to ensure compliance with travel laws.;-;-;-
Check validity of documents;Load luggage;Loading luggage without verifying the validity of documents could lead to security and regulatory issues.;-;-;-
Weigh baggage;Cancel check-in;-;-;-;-
Weigh baggage;Process payment;-;-;Payment must be processed after confirming the weight of the baggage to ensure that any additional fees for overweight luggage are collected.;-
Weigh baggage;Check-in luggage;-;-;The airline requires that baggage must be weighed before check-in to ensure it is within safe limits and to process any overweight fees.;-
Weigh baggage;Load luggage;-;-;Only luggage that has been weighed and confirmed to be within safe limits should be loaded onto the aircraft.;Luggage must be weighed to ensure it does not exceed weight limits before it can be loaded.
Cancel check-in;Process payment;-;-;The airline requires that payment is processed before proceeding with check-in activities.;-
Cancel check-in;Check-in luggage;-;-;The airline requires that check-in can only proceed if the check-in process has not been canceled.;-
Cancel check-in;Load luggage;-;-;-;-
Process payment;Check-in luggage;-;-;The airline requires that payment is processed before allowing check-in of luggage to ensure that all fees are settled.;-
Process payment;Load luggage;-;-;Luggage can only be loaded if payment has been processed to ensure that all fees are settled.;-
Check-in luggage;Load luggage;-;-;Only checked-in luggage should be loaded into the aircraft.;Luggage needs to be physically next to the aircraft to load it.
