sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;-;The system needs to know the passenger's information before any changes can be made.;Data dependency: The system needs to know the passenger's information before any changes can be made.
Scan ticket;Change seat;-;-;The passenger information is needed to change the seat.;Data dependency: The seat can only be changed if the current seat is known.
Scan ticket;Check validity of documents;-;It is more efficient to check the validity of documents after scanning the ticket, as the ticket provides information about the passenger and their travel details.;-;-
Scan ticket;Weigh baggage;-;It is more efficient to scan the ticket first to get the passenger information and then weigh the luggage. This allows for a more efficient process and avoids unnecessary delays.;-;-
Scan ticket;Cancel check-in;-;-;The process should be canceled if the ticket is not valid.;-
Scan ticket;Process payment;-;-;The payment is processed only after the ticket is scanned and the passenger's information is retrieved.;-
Scan ticket;Check-in luggage;-;-;The airline wants to ensure that all other activities are completed before checking in the luggage.;-
Scan ticket;Load luggage;-;-;The airline wants to ensure that all luggage is checked in before being loaded onto the aircraft.;Luggage needs to be physically next to the aircraft to load it.
Change number of bags;Change seat;-;-;-;-
Change number of bags;Check validity of documents;-;It is more efficient to check the validity of documents after changing the number of bags. If the documents are not valid, the change will be canceled.;-;-
Change number of bags;Weigh baggage;-;It is more efficient to weigh the luggage after the number of bags is confirmed. This ensures that the weight of all bags is accounted for.;-;-
Change number of bags;Cancel check-in;-;-;The process is canceled if the ticket is not valid, or the passport is not valid.;-
Change number of bags;Process payment;-;-;The airline charges a fee for changing the number of bags.;-
Change number of bags;Check-in luggage;-;-;The airline wants to ensure that the payment for the additional bags is processed before checking in the luggage.;-
Change number of bags;Load luggage;-;-;The luggage needs to be checked in before it can be loaded onto the aircraft.;Luggage needs to be physically next to the aircraft to load it.
Change seat;Check validity of documents;-;It is more efficient to check the validity of documents before making any changes to the ticket.;-;-
Change seat;Weigh baggage;-;-;-;-
Change seat;Cancel check-in;-;-;The process is canceled if the ticket is not valid, or the passport is not valid.;-
Change seat;Process payment;-;-;The airline charges a fee for changing the seat.;-
Change seat;Check-in luggage;-;-;The airline wants to ensure that all changes are processed before checking in the luggage.;-
Change seat;Load luggage;-;-;The airline wants to ensure that all changes are processed before the luggage is loaded.;Luggage needs to be physically next to the aircraft to load it.
Check validity of documents;Weigh baggage;-;It is more efficient to check the validity of documents first. If the documents are not valid, the luggage will not be checked in and therefore does not need to be weighed.;-;-
Check validity of documents;Cancel check-in;-;-;If the documents are not valid, the check-in process should be canceled.;-
Check validity of documents;Process payment;-;-;The payment is only processed if the documents are valid.;-
Check validity of documents;Check-in luggage;-;-;The airline wants to ensure that the check-in process is only completed if the passenger's documents are valid.;-
Check validity of documents;Load luggage;-;-;The airline wants to ensure that only valid documents are associated with the luggage.;Luggage cannot be loaded without being checked in, and checking in requires valid documents.
Weigh baggage;Cancel check-in;-;-;The process is designed to cancel the check-in only after the luggage has been weighed.;-
Weigh baggage;Process payment;-;-;The payment is processed only if the luggage is overweight.;-
Weigh baggage;Check-in luggage;-;-;The airline wants to ensure that the payment for overweight luggage is processed before checking in the luggage.;-
Weigh baggage;Load luggage;-;-;The airline wants to ensure that the luggage is within the weight limits before loading it onto the aircraft.;Luggage needs to be physically next to the aircraft to load it.
Cancel check-in;Process payment;-;-;-;-
Cancel check-in;Check-in luggage;-;-;Once the check-in is canceled, no further activities should be performed.;-
Cancel check-in;Load luggage;-;-;Once the check-in is canceled, no further activities should be performed.;-
Process payment;Check-in luggage;-;-;The airline wants to ensure that the payment is processed before checking in the luggage.;-
Process payment;Load luggage;-;-;The airline wants to ensure that the payment is processed before the luggage is loaded.;Luggage needs to be physically next to the aircraft to load it.
Check-in luggage;Load luggage;-;-;The airline wants us to only do the check-in if the other things are done to make sure that the payment is processed.;Luggage needs to be physically next to the aircraft to load it.
