sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;-;The ticket must be scanned to retrieve passenger information before any changes to the number of bags can be made.;The number of bags can only be changed if the previous number of bags is known. (Data dependency)
Scan ticket;Change seat;-;Scanning the ticket retrieves the passenger's information, which is necessary to process any seat change requests.;-;-
Scan ticket;Check validity of documents;-;Scanning the ticket first allows the system to retrieve all necessary passenger information, which is then used to validate the documents efficiently.;-;-
Scan ticket;Weigh baggage;Checked-in luggage has to be weighed in all cases to ensure each piece is within safe limits for manual handling, as protected by law.;-;-;-
Scan ticket;Cancel check-in;-;-;The ticket must be scanned to retrieve passenger information before deciding to cancel the check-in process.;-
Scan ticket;Process payment;-;-;The airline requires that the ticket is scanned first to retrieve passenger information and ensure that the payment is processed correctly.;-
Scan ticket;Check-in luggage;-;-;The airline requires the ticket to be scanned to ensure all necessary information is available and payment is processed before checking in the luggage.;-
Scan ticket;Load luggage;-;-;Only scanned and checked-in luggage should be loaded into the aircraft.;Luggage needs to be physically next to the aircraft to load it.
Change number of bags;Change seat;-;-;-;-
Change number of bags;Check validity of documents;-;-;-;-
Change number of bags;Weigh baggage;-;-;The number of bags must be updated in the system before weighing to ensure all bags are accounted for and associated with the ticket.;-
Change number of bags;Cancel check-in;-;-;After canceling a check-in instance, no other activities should be performed.;-
Change number of bags;Process payment;-;-;The airline requires that any changes to the number of bags are processed and paid for before proceeding.;-
Change number of bags;Check-in luggage;-;-;The number of bags must be updated in the system before checking in the luggage to ensure the ticket is associated with all bags.;-
Change number of bags;Load luggage;-;-;The number of bags must be updated in the system to ensure all bags are associated with the ticket before loading.;-
Change seat;Check validity of documents;-;-;-;-
Change seat;Weigh baggage;-;-;-;-
Change seat;Cancel check-in;-;-;-;-
Change seat;Process payment;-;-;The airline requires payment to be processed for seat changes to cover additional costs and ensure the change is confirmed.;-
Change seat;Check-in luggage;-;-;The airline wants to ensure that all changes, including seat changes, are completed before checking in the luggage to ensure that the payment is processed correctly.;-
Change seat;Load luggage;-;-;-;-
Check validity of documents;Weigh baggage;Passengers must have valid documents to proceed with any further steps, including weighing baggage, as per governmental regulations.;-;-;-
Check validity of documents;Cancel check-in;-;Checking the validity of documents first ensures that invalid tickets or passports are identified early, preventing unnecessary steps and saving time.;-;-
Check validity of documents;Process payment;-;It is more efficient to check the validity of documents first to avoid processing payments for invalid tickets or passports.;-;-
Check validity of documents;Check-in luggage;-;-;The airline requires that the validity of documents is checked before checking in luggage to ensure that the payment is processed and all necessary information is verified.;-
Check validity of documents;Load luggage;Government regulations require that all passengers' documents are validated before their luggage can be loaded onto the aircraft.;-;-;-
Weigh baggage;Cancel check-in;-;-;-;-
Weigh baggage;Process payment;The law protects workers by ensuring that overweight luggage is identified and processed accordingly, which includes processing payment for overweight luggage.;-;-;-
Weigh baggage;Check-in luggage;The law protects workers by ensuring that overweight luggage is identified and handled appropriately.;-;-;Checked-in luggage must be weighed to ensure it is within safe limits for manual handling.
Weigh baggage;Load luggage;The law protects workers by ensuring that overweight pieces of luggage are forwarded to a special unit for handling.;-;-;Luggage needs to be physically next to the aircraft to load it.
Cancel check-in;Process payment;-;-;If the check-in is canceled, no further activities, including payment processing, should be performed.;-
Cancel check-in;Check-in luggage;-;-;-;-
Cancel check-in;Load luggage;-;-;-;-
Process payment;Check-in luggage;-;-;The airline requires that payment is processed before checking in luggage to ensure that all fees are settled.;-
Process payment;Load luggage;-;-;The airline requires that payment is processed before luggage is loaded to ensure all fees are settled.;-
Check-in luggage;Load luggage;-;-;Only checked-in luggage should be loaded into the aircraft.;Luggage needs to be physically next to the aircraft to load it.
