sep=;
First Activity;Second Activity;Governmental Law;Best Practice;Business Rule;Law of Nature
Scan ticket;Change number of bags;-;It is more efficient to scan the ticket first to retrieve the passenger's information, including the initial number of booked bags, before making any changes to the booking. This allows the agent to properly associate the changes to the correct passenger record.;-;-
Scan ticket;Change seat;-;Scanning the ticket first provides the necessary information to process a seat change request. Without scanning the ticket, the system would not have the passenger details required to make the seat change.;-;-
Scan ticket;Check validity of documents;Checking the validity of documents like passport and ID is a legal requirement before allowing a passenger to check-in and board a flight. This is to ensure the passenger has the necessary legal documents to travel.;-;-;-
Scan ticket;Weigh baggage;-;It is more efficient to scan the ticket first to obtain the passenger information, including the number of bags booked, before weighing the baggage. Weighing the baggage without first scanning the ticket would not provide the necessary context.;-;-
Scan ticket;Cancel check-in;-;-;The ticket information needs to be scanned first in order to retrieve the passenger details and be able to cancel the check-in process if needed. This is a business rule set by the airline to ensure proper handling of the check-in process.;-
Scan ticket;Process payment;-;-;The airline requires the ticket information to be scanned first in order to determine the appropriate payment amount and process the payment. This is a business rule set by the airline to ensure accurate billing and accounting.;-
Scan ticket;Check-in luggage;-;It is more efficient to scan the ticket first before checking in the luggage. Scanning the ticket provides the necessary passenger information that is required for the check-in process, such as the number of bags booked, seat assignment, etc. This information is needed to properly handle the luggage.;-;-
Scan ticket;Load luggage;-;-;The airline requires the ticket to be scanned first in order to associate the luggage with the passenger information. This ensures the correct luggage is loaded onto the correct flight.;-
Change number of bags;Change seat;-;-;-;-
Change number of bags;Check validity of documents;-;-;The airline requires the validity of documents to be checked before allowing changes to the number of bags, as part of their internal policies to ensure the accuracy of passenger information.;-
Change number of bags;Weigh baggage;-;-;The number of bags needs to be updated in the system before the baggage can be weighed, as the weight calculation is dependent on the total number of bags.;-
Change number of bags;Cancel check-in;-;-;The airline allows passengers to change the number of bags up until the point of canceling the entire check-in process. Changing the number of bags is a simple update, while canceling the check-in is a more drastic action that clears all the passenger information from the system.;-
Change number of bags;Process payment;-;-;The airline requires the payment to be processed after any changes to the number of bags in order to account for additional fees associated with the bag changes.;-
Change number of bags;Check-in luggage;-;-;The airline requires the number of bags to be finalized before the luggage can be checked in. This allows them to properly plan the flight's weight and capacity.;-
Change number of bags;Load luggage;-;-;The airline has a business rule that the number of bags must be finalized before the luggage can be loaded onto the aircraft. This ensures the loading plan accounts for the correct number of bags per passenger.;-
Change seat;Check validity of documents;-;-;The airline's policy is to check the validity of the passenger's documents before making any seat changes, to ensure the passenger is authorized to travel.;-
Change seat;Weigh baggage;-;It is more efficient to change the seat first before weighing the baggage. Weighing the baggage may not be necessary if the seat is changed, as the weight limits may not apply in the same way.;-;-
Change seat;Cancel check-in;-;-;Changing a seat is a modification to the passenger's booking, whereas cancelling the check-in is a complete termination of the booking. It is a business rule that cancelling the check-in should be done after any other modifications to the booking, as the cancellation effectively resets the entire process.;-
Change seat;Process payment;-;-;The airline requires passengers to pay an additional fee when they request to change their seat assignment. Processing the payment is necessary to complete the seat change request.;-
Change seat;Check-in luggage;-;-;-;-
Change seat;Load luggage;-;-;The airline requires the seat information to be finalized before the luggage can be loaded onto the aircraft. This ensures the passenger manifest and seating plan are up-to-date before the loading process begins.;-
Check validity of documents;Weigh baggage;-;It is more efficient to first check the validity of the customer's documents before weighing their baggage. This ensures that the customer is eligible to complete the check-in process, and avoids unnecessary effort of weighing baggage for ineligible customers.;-;-
Check validity of documents;Cancel check-in;-;-;If the passenger's documents are not valid, the check-in process should be cancelled. This is an internal business rule that the airline can enforce to avoid unnecessary effort and costs.;-
Check validity of documents;Process payment;Checking the validity of passenger documents is a legal requirement before processing any payment. This ensures the passenger information is accurate and they are authorized to make the transaction.;-;-;-
Check validity of documents;Check-in luggage;Checking the validity of documents is required by law before allowing passengers to check-in their luggage. This ensures that only authorized persons are allowed to travel.;-;-;-
Check validity of documents;Load luggage;Checking the validity of documents is required by law to ensure passengers are authorized to travel. Loading luggage can only be done after the passenger's identity and travel documents have been verified.;-;-;-
Weigh baggage;Cancel check-in;-;-;It is a business rule for the airline that if the baggage is overweight, the check-in process can be cancelled. This gives the airline the ability to enforce weight limits and charge additional fees if necessary.;-
Weigh baggage;Process payment;-;-;The airline requires payment to be processed for any excess baggage weight before the luggage is accepted and checked in. This is a business rule set by the airline to ensure they are compensated for the additional weight and handling costs.;-
Weigh baggage;Check-in luggage;-;Weighing the luggage before checking it in is a common practice to ensure the luggage is within the weight limits set by the airline. This allows for proper planning of the aircraft's weight and balance during takeoff.;-;-
Weigh baggage;Load luggage;-;-;The weight of the baggage needs to be known before it can be loaded onto the aircraft. This allows the airline to properly calculate the total weight and balance of the plane.;The physical baggage needs to be present and its weight known in order to load it onto the aircraft.
Cancel check-in;Process payment;-;-;The airline has a business rule that if a check-in is canceled, any associated payment that was processed should also be refunded. This ensures the passenger is not charged for a service that was not provided.;-
Cancel check-in;Check-in luggage;-;-;Once a check-in has been canceled, the luggage should not be checked in, as the passenger's travel plans have been canceled. Checking in the luggage after a check-in cancellation would be unnecessary and a waste of time.;-
Cancel check-in;Load luggage;-;-;If the check-in process is cancelled, the luggage should not be loaded onto the aircraft as it is no longer associated with a valid passenger booking.;-
Process payment;Check-in luggage;-;-;The airline requires payment to be processed before check-in of luggage, as this ensures the passenger has paid the necessary fees for their ticket and luggage allowance.;-
Process payment;Load luggage;-;-;The airline requires the payment to be processed before the luggage is loaded onto the aircraft, as this ensures the airline receives the necessary revenue for the transportation service.;-
Check-in luggage;Load luggage;-;-;Only checked in luggage should be loaded into the aircraft.;Luggage needs to be physically next to the aircraft to load it.
